StockID,StockName,Volumn,Market,UpdateTime
6770,力積電,529164465,TW,2025-11-12 12:07:51
2337,旺宏,436921362,TW,2025-11-12 12:07:51
2408,南亞科,286107518,TW,2025-11-12 12:07:51
1802,台玻,214971471,TW,2025-11-12 12:07:51
8110,華東,183219402,TW,2025-11-12 12:07:51
1303,南亞,123131763,TW,2025-11-12 12:07:51
8112,至上,119705881,TW,2025-11-12 12:07:51
00981A,主動統一台股增長,93305717,TW,2025-11-12 12:07:51
1605,華新,90158152,TW,2025-11-12 12:07:51
1314,中石化,88555980,TW,2025-11-12 12:07:51
3231,緯創,84453986,TW,2025-11-12 12:07:51
0050,元大台灣50,79723934,TW,2025-11-12 12:07:51
2887,台新新光金,73730032,TW,2025-11-12 12:07:51
2374,佳能,71227199,TW,2025-11-12 12:07:51
00919,群益台灣精選高息,65364337,TW,2025-11-12 12:07:51
3481,群創,64029018,TW,2025-11-12 12:07:51
2884,玉山金,61889439,TW,2025-11-12 12:07:51
3706,神達,60470358,TW,2025-11-12 12:07:51
2867,三商壽,57104282,TW,2025-11-12 12:07:51
00982A,主動群益台灣強棒,56142135,TW,2025-11-12 12:07:51
1815,富喬,153151,TWO,2025-11-12 12:07:51
8096,擎亞,68693,TWO,2025-11-12 12:07:51
5351,鈺創科技,56808,TWO,2025-11-12 12:07:51
8088,品安科技,46146,TWO,2025-11-12 12:07:51
3260,威剛科技,26436,TWO,2025-11-12 12:07:51
6548,長科*,25494,TWO,2025-11-12 12:07:51
5314,世紀*,20212,TWO,2025-11-12 12:07:51
3162,精確,16441,TWO,2025-11-12 12:07:51
6290,良維科技,15562,TWO,2025-11-12 12:07:51
1785,光洋科技,15156,TWO,2025-11-12 12:07:51
5498,凱崴,14053,TWO,2025-11-12 12:07:51
5371,中強光電,12898,TWO,2025-11-12 12:07:51
6173,信昌電陶,12460,TWO,2025-11-12 12:07:51
6274,台燿科技,11864,TWO,2025-11-12 12:07:51
8299,群聯電子,11365,TWO,2025-11-12 12:07:51
3709,鑫聯大投控,10661,TWO,2025-11-12 12:07:51
8111,立碁電子,10481,TWO,2025-11-12 12:07:51
1569,濱川企業,10213,TWO,2025-11-12 12:07:51
4931,新盛力,9501,TWO,2025-11-12 12:07:51
8054,安國國際,9075,TWO,2025-11-12 12:07:51
