trade_date,stock_id,foreign_buy_shares,foreign_sell_shares,trust_buy_shares,trust_sell_shares,dealer_buy_shares,dealer_sell_shares
2025-12-15,00632R,18000000,60028000000,0,0,83288568000,5675000000
2025-12-15,2883,27955359000,11534543000,2026000000,1685000000,617709000,85925000
2025-12-15,2303,36301821000,11142627000,318000000,10199633000,739182000,291085000
2025-12-15,00680L,321000000,0,0,0,15147000000,1295289000
2025-12-15,2867,14737000000,2421000000,0,0,700000000,0
2025-12-15,1101,21401895000,10877043000,311000000,0,1764051000,250390000
2025-12-15,2887,45017112000,16400372000,7008000000,23730000000,862973000,429000000
2025-12-15,2610,30695830000,18464185000,0,1197000000,1891450000,951583000
2025-12-15,00671R,0,0,0,0,12451241000,2691000000
2025-12-15,00637L,8603000000,5000000,0,0,11794034000,11378373000
2025-12-15,2890,19506604000,9077916000,1623000000,4023000000,400680000,200168000
2025-12-15,2618,14364703000,9090402000,52000000,823000000,2252876000,164458000
2025-12-15,00940,769020000,1986200000,0,0,8949000000,1351131000
2025-12-15,00900,1717443000,537000000,0,0,7230616000,2158372000
2025-12-15,00953B,2692000000,12000000,0,0,11111000000,7720000000
2025-12-15,2313,12509200000,12424178000,72000000,0,6143889000,576663000
2025-12-15,5880,9269259000,4068557000,0,12000000,153130000,0
2025-12-15,2884,27052100000,31383237000,10715000000,1343000000,220009000,520752000
2025-12-15,2880,8213042000,5823471000,3113000000,1558000000,318746000,2000000
2025-12-15,00712,6822107000,81000000,0,0,640000000,3514399000
2025-12-15,2882,18226307000,13703565000,101000000,1132000000,628202000,383747000
2025-12-15,1314,9581000000,6351000000,0,0,509000000,60408000
2025-12-15,1326,11886971000,9142017000,0,0,1510252000,877791000
2025-12-15,5521,7497000000,4204030000,0,0,360069000,325000000
2025-12-15,6116,3978000000,993000000,0,0,195839000,19000000
2025-12-15,2801,11243216000,9924052000,1702000000,0,83000000,100000000
2025-12-15,00985B,918000000,0,0,0,1739000000,400000
2025-12-15,00673R,0,0,0,0,2560727000,1000000
2025-12-15,00939,362000000,27100000,0,0,3150816000,1075385000
2025-12-15,1312,3245000000,1009000000,0,0,222450000,144232000
2025-12-15,00915,227000000,174000000,0,0,3130438000,880363000
2025-12-15,2606,3467560000,5518000000,2884000000,2000000,1659496000,191316000
2025-12-15,2027,8052000000,6230542000,0,0,636698000,317222000
2025-12-15,2845,3090360000,1016000000,0,0,34000000,0
2025-12-15,2337,25328855000,24051350000,612000000,0,1403127000,1219141000
2025-12-15,2812,3635642000,1684000000,0,0,122000000,374000
2025-12-15,9945,4226940000,2294000000,0,1000000,155753000,68883000
2025-12-15,6191,3418678000,1997066000,5000000,0,526155000,160070000
2025-12-15,00713,33602000,380800000,0,100000000,3075228000,862994000
2025-12-15,2454,5696511000,4379820000,162000000,55701000,364854000,155552000
2025-12-15,1718,1845000000,310000000,0,0,93000000,0
2025-12-15,2377,3064240000,1551517000,51500000,326000,82449000,29365000
2025-12-15,2609,6392036000,4799260000,0,152000000,252000000,91610000
2025-12-15,2408,3753370000,1921710000,28000000,23000000,288000000,555000000
2025-12-15,4763,3824000000,1794342000,0,518000000,76753000,62485000
2025-12-15,9105,1982000000,471000000,0,0,2072000,17000000
2025-12-15,4906,5486000000,4445000000,0,0,669811000,239730000
2025-12-15,00688L,0,0,0,0,3436000000,1998485000
2025-12-15,2637,2173000000,903000000,0,0,144085000,9083000
2025-12-15,00965,1767212000,13265000,0,220000000,1497000000,1630153000
2025-12-15,00676R,5000000,0,0,0,1507025000,126070000
2025-12-15,2014,4412000000,3721000000,0,0,778719000,113358000
2025-12-15,2603,3098751000,2658165000,1177000000,82000000,55651000,238262000
2025-12-15,6443,6875000000,6192000000,0,0,915644000,308000000
2025-12-15,2892,23569988000,11226365000,0,11108000000,162771000,112650000
2025-12-15,2405,1413000000,150000000,0,0,3000000,1000000
2025-12-15,2105,4194100000,2997950000,107000000,151891000,111119000,36390000
2025-12-15,6282,7827000000,7670276000,64000000,0,1482911000,480964000
2025-12-15,2489,1669000000,358000000,0,0,15000000,110000000
2025-12-15,00686R,0,0,0,0,1553000000,338000000
2025-12-15,00946,25100000,228000000,0,0,3429946000,2020651000
2025-12-15,00693U,35000000,0,0,0,1483000000,319717000
2025-12-15,1560,2273000000,1234800000,49600000,2000000,203898000,124807000
2025-12-15,6139,3762560000,2750051000,170000000,79000000,245184000,192148000
2025-12-15,2836,1287000000,155000000,0,0,13000000,0
2025-12-15,5522,1286000000,566000000,366000000,0,6000000,1000000
2025-12-15,00708L,166000000,57000000,0,0,1816807000,839650000
2025-12-15,2349,3935006000,2876000000,0,0,65447000,70000000
2025-12-15,2382,4656272000,3899776000,47000000,32323000,338000000,90307000
2025-12-15,2399,1218000000,231000000,0,0,2000000,0
2025-12-15,3305,3489000000,2680000000,0,0,225820000,91100000
2025-12-15,2834,4866532000,4002886000,0,1000000,73000000,0
2025-12-15,3189,3131010000,2356074000,0,7000000,260033000,117985000
2025-12-15,2886,9577190000,8397769000,477000000,1022000000,311698000,55000000
2025-12-15,2034,1462000000,628000000,0,0,106214000,57997000
2025-12-15,2897,1146000000,293000000,0,0,19000000,0
2025-12-15,00941,844000000,22000000,0,0,143000000,93060000
2025-12-15,8011,961000000,120000000,0,0,2000000,0
2025-12-15,3380,1283000000,471000000,0,0,71739000,56657000
2025-12-15,6753,1519400000,822614000,0,0,150200000,20327000
2025-12-15,00633L,472000000,158000000,0,0,1143380000,631915000
2025-12-15,9907,1298000000,1242000000,739000000,0,17010000,0
2025-12-15,6213,2682010000,2033000000,0,0,258119000,97843000
2025-12-15,2332,1426000000,639000000,0,0,17561000,22101000
2025-12-15,2340,1848000000,1011000000,0,0,11473000,82513000
2025-12-15,1102,3090469000,3281344000,1455000000,649469000,148685000,16751000
2025-12-15,2402,4751500000,3879000000,0,0,140917000,281908000
2025-12-15,4958,3457324000,2546137000,416000000,564000000,124997000,158694000
2025-12-15,4967,1504000000,779000000,0,0,25135000,23910000
2025-12-15,2457,1189000000,855030000,0,0,451475000,69688000
2025-12-15,3715,4672015000,4060430000,0,0,233006000,136522000
2025-12-15,5284,1019050000,388050000,0,0,79239000,4302000
2025-12-15,009801,642000000,17000000,0,0,1268000000,1204495000
2025-12-15,00910,102000000,4801000,0,0,721841000,167207000
2025-12-15,2634,1337200000,1171000000,0,0,717107000,238354000
2025-12-15,1587,1108000000,493000000,0,0,4000000,9967000
2025-12-15,00921,2000000,10000000,0,0,724589000,110505000
2025-12-15,1727,1060000000,476150000,0,0,2000000,1738000
2025-12-15,1907,802000000,259000000,0,0,21000000,4030000
2025-12-15,9933,1758000000,1293000000,89000000,0,11000000,5360000
2025-12-15,6806,1002534000,460000000,0,0,2022000,0
2025-12-15,2355,916000000,406000000,0,0,30967000,833000
2025-12-15,2630,824000000,293000000,0,0,5000000,8179000
2025-12-15,3535,851000000,332150000,0,0,2000000,391000
2025-12-15,009812,32000000,0,0,0,804000000,323967000
2025-12-15,1308,842000000,356000000,0,0,5000000,177000
2025-12-15,2323,6877000000,6538000000,0,0,314373000,173000000
2025-12-15,2504,1401000000,366000000,0,567000000,10918000,2000
2025-12-15,4919,1148000000,675000000,0,0,17000000,12228000
2025-12-15,2367,5298400000,6164300000,0,0,1467877000,124636000
2025-12-15,2010,595000000,125000000,0,0,5000000,0
2025-12-15,2467,2243050000,1861000000,22000000,0,127891000,66147000
2025-12-15,2401,622000000,219000000,0,0,51773000,1058000
2025-12-15,1519,3963828000,3779652000,355000000,129000,307246000,404497000
2025-12-15,3047,647000000,208000000,0,0,4000000,4000000
2025-12-15,2548,577000000,147000000,0,0,17356000,11000000
2025-12-15,5243,564000000,191000000,50000000,0,21658000,8838000
2025-12-15,5876,4245641000,3817726000,0,100000000,103000000,0
2025-12-15,1316,653000000,230000000,0,0,4000000,1000
2025-12-15,1905,621000000,198000000,0,0,10965000,14003000
2025-12-15,2392,685000000,300000000,0,0,51893000,25794000
2025-12-15,00655L,223000000,0,0,0,757031000,574457000
2025-12-15,1310,573000000,177000000,0,0,5000000,1722000
2025-12-15,00949,348000000,4000000,0,0,596365000,549352000
2025-12-15,2316,1100000000,772000000,0,0,105013000,42197000
2025-12-15,6120,892000000,518000000,0,0,6180000,0
2025-12-15,2365,528000000,152000000,0,0,3000000,11000
2025-12-15,3010,470300000,583000000,468000000,0,33521000,13000000
