stock_id,stock_name,stock_type
1101,台泥,TW
1102,亞泥,TW
1103,嘉泥,TW
1104,環泥,TW
1108,幸福,TW
1109,信大,TW
1110,東泥,TW
1201,味全,TW
1203,味王,TW
1210,大成,TW
1213,大飲,TW
1215,卜蜂,TW
1216,統一,TW
1217,愛之味,TW
1218,泰山,TW
1219,福壽,TW
1220,台榮,TW
1225,福懋油,TW
1227,佳格,TW
1229,聯華,TW
1231,聯華食,TW
1232,大統益,TW
1233,天仁,TW
1234,黑松,TW
1235,興泰,TW
1236,宏亞,TW
1256,鮮活果汁-KY,TW
1301,台塑,TW
1303,南亞,TW
1304,台聚,TW
1305,華夏,TW
1307,三芳,TW
1308,亞聚,TW
1309,台達化,TW
1310,台苯,TW
1312,國喬,TW
1313,聯成,TW
1314,中石化,TW
1315,達新,TW
1316,上曜,TW
1319,東陽,TW
1321,大洋,TW
1323,永裕,TW
1324,地球,TW
1325,恆大,TW
1326,台化,TW
1337,再生-KY,TW
1338,廣華-KY,TW
1339,昭輝,TW
1340,勝悅-KY,TW
1341,富林-KY,TW
1342,八貫,TW
1402,遠東新,TW
1409,新纖,TW
1410,南染,TW
1413,宏洲,TW
1414,東和,TW
1416,廣豐,TW
1417,嘉裕,TW
1418,東華,TW
1419,新紡,TW
1423,利華,TW
1432,大魯閣,TW
1434,福懋,TW
1435,中福,TW
1436,華友聯,TW
1437,勤益控,TW
1438,三地開發,TW
1439,雋揚,TW
1440,南紡,TW
1441,大東,TW
1442,名軒,TW
1443,立益物流,TW
1444,力麗,TW
1445,大宇,TW
1446,宏和,TW
1447,力鵬,TW
1449,佳和,TW
1451,年興,TW
1452,宏益,TW
1453,大將,TW
1454,台富,TW
1455,集盛,TW
1456,怡華,TW
1457,宜進,TW
1459,聯發,TW
1460,宏遠,TW
1463,強盛新,TW
1464,得力,TW
1465,偉全,TW
1466,聚隆,TW
1467,南緯,TW
1468,昶和,TW
1470,大統新創,TW
1471,首利,TW
1472,三洋實業,TW
1473,台南,TW
1474,弘裕,TW
1475,業旺,TW
1476,儒鴻,TW
1477,聚陽,TW
1503,士電,TW
1504,東元,TW
1506,正道,TW
1512,瑞利,TW
1513,中興電,TW
1514,亞力,TW
1515,力山,TW
1516,川飛,TW
1517,利奇,TW
1519,華城,TW
1521,大億,TW
1522,堤維西,TW
1524,耿鼎,TW
1525,江申,TW
1526,日馳,TW
1527,鑽全,TW
1528,恩德,TW
1529,樂事綠能,TW
1530,亞崴,TW
1531,高林股,TW
1532,勤美,TW
1533,車王電,TW
1535,中宇,TW
1536,和大,TW
1537,廣隆,TW
1538,正峰,TW
1539,巨庭,TW
1540,喬福,TW
1541,錩泰,TW
1558,伸興,TW
1560,中砂,TW
1563,巧新,TW
1568,倉佑,TW
1582,信錦,TW
1583,程泰,TW
1587,吉茂,TW
1589,永冠-KY,TW
1590,亞德客-KY,TW
1597,直得,TW
1598,岱宇,TW
1603,華電,TW
1604,聲寶,TW
1605,華新,TW
1608,華榮,TW
1609,大亞,TW
1611,中電,TW
1612,宏泰,TW
1614,三洋電,TW
1615,大山,TW
1616,億泰,TW
1617,榮星,TW
1618,合機,TW
1626,艾美特-KY,TW
1702,南僑,TW
1707,葡萄王,TW
1708,東鹼,TW
1709,和益,TW
1710,東聯,TW
1711,永光,TW
1712,興農,TW
1713,國化,TW
1714,和桐,TW
1717,長興,TW
1718,中纖,TW
1720,生達,TW
1721,三晃,TW
1722,台肥,TW
1723,中碳,TW
1725,元禎,TW
1726,永記,TW
1727,中華化,TW
1730,花仙子,TW
1731,美吾華,TW
1732,毛寶,TW
1733,五鼎,TW
1734,杏輝,TW
1735,日勝化,TW
1736,喬山,TW
1737,臺鹽,TW
1752,南光,TW
1760,寶齡富錦,TW
1762,中化生,TW
1773,勝一,TW
1776,展宇,TW
1783,和康生,TW
1786,科妍,TW
1789,神隆,TW
1795,美時,TW
1802,台玻,TW
1805,寶徠,TW
1806,冠軍,TW
1808,潤隆,TW
1809,中釉,TW
1810,和成,TW
1817,凱撒衛,TW
1903,士紙,TW
1904,正隆,TW
1905,華紙,TW
1906,寶隆,TW
1907,永豐餘,TW
1909,榮成,TW
2002,中鋼,TW
2006,東和鋼鐵,TW
2007,燁興,TW
2008,高興昌,TW
2009,第一銅,TW
2010,春源,TW
2012,春雨,TW
2013,中鋼構,TW
2014,中鴻,TW
2015,豐興,TW
2017,官田鋼,TW
2020,美亞,TW
2022,聚亨,TW
2023,燁輝,TW
2024,志聯,TW
2025,千興,TW
2027,大成鋼,TW
2028,威致,TW
2029,盛餘,TW
2030,彰源,TW
2031,新光鋼,TW
2032,新鋼,TW
2033,佳大,TW
2034,允強,TW
2038,海光,TW
2049,上銀,TW
2059,川湖,TW
2062,橋椿,TW
2069,運錩,TW
2101,南港,TW
2102,泰豐,TW
2103,台橡,TW
2104,國際中橡,TW
2105,正新,TW
2106,建大,TW
2107,厚生,TW
2108,南帝,TW
2109,華豐,TW
2114,鑫永銓,TW
2115,六暉-KY,TW
2201,裕隆,TW
2204,中華,TW
2206,三陽工業,TW
2207,和泰車,TW
2208,台船,TW
2211,長榮鋼,TW
2227,裕日車,TW
2228,劍麟,TW
2231,為升,TW
2233,宇隆,TW
2236,百達-KY,TW
2239,英利-KY,TW
2241,艾姆勒,TW
2243,宏旭-KY,TW
2247,汎德永業,TW
2248,華勝-KY,TW
2250,IKKA-KY,TW
2301,光寶科,TW
2302,麗正,TW
2303,聯電,TW
2305,全友,TW
2308,台達電,TW
2312,金寶,TW
2313,華通,TW
2314,台揚,TW
2316,楠梓電,TW
2317,鴻海,TW
2321,東訊,TW
2323,中環,TW
2324,仁寶,TW
2327,國巨*,TW
2328,廣宇,TW
2329,華泰,TW
2330,台積電,TW
2331,精英,TW
2332,友訊,TW
2337,旺宏,TW
2338,光罩,TW
2340,台亞,TW
2342,茂矽,TW
2344,華邦電,TW
2345,智邦,TW
2347,聯強,TW
2348,海悅,TW
2349,錸德,TW
2351,順德,TW
2352,佳世達,TW
2353,宏��,TW
2354,鴻準,TW
2355,敬鵬,TW
2356,英業達,TW
2357,華碩,TW
2359,所羅門,TW
2360,致茂,TW
2362,藍天,TW
2363,矽統,TW
2364,倫飛,TW
2365,昆盈,TW
2367,燿華,TW
2368,金像電,TW
2369,菱生,TW
2371,大同,TW
2373,震旦行,TW
2374,佳能,TW
2375,凱美,TW
2376,技嘉,TW
2377,微星,TW
2379,瑞昱,TW
2380,虹光,TW
2382,廣達,TW
2383,台光電,TW
2385,群光,TW
2387,精元,TW
2388,威盛,TW
2390,云辰,TW
2392,正崴,TW
2393,億光,TW
2395,研華,TW
2397,友通,TW
2399,映泰,TW
2401,凌陽,TW
2402,毅嘉,TW
2404,漢唐,TW
2405,輔信,TW
2406,國碩,TW
2408,南亞科,TW
2409,友達,TW
2412,中華電,TW
2413,環科,TW
2414,精技,TW
2415,錩新,TW
2417,圓剛,TW
2419,仲琦,TW
2420,新巨,TW
2421,建準,TW
2423,固緯,TW
2424,隴華,TW
2425,承啟,TW
2426,鼎元,TW
2427,三商電,TW
2428,興勤,TW
2429,銘旺科,TW
2430,燦坤,TW
2431,聯昌,TW
2433,互盛電,TW
2434,統懋,TW
2436,偉詮電,TW
2438,翔耀,TW
2439,美律,TW
2440,太空梭,TW
2441,超豐,TW
2442,新美齊,TW
2444,兆勁,TW
2449,京元電子,TW
2450,神腦,TW
2451,創見,TW
2453,凌群,TW
2454,聯發科,TW
2455,全新,TW
2457,飛宏,TW
2458,義隆,TW
2459,敦吉,TW
2460,建通,TW
